an.onset	onset detector for arrays
math.atanh	inverse hyperbolic tangent function
math.atanh~	hyperbolic arc tangent for signals
math.atan~	arc tangent for signals
math.cabs~	magnitude of a complex signals
cabs~	magnitude of a complex signals
math.carg~	phase angle of a complex signals
carg~	phase angle of a complex signals
math.cbrt	cube root function
math.cbrt~	cube root function for signals
math.cdiv~	division of complex signals
cdiv~	division of complex signals
math.ceil	round to smallest integral value not less than input value
math.ceil~	round to smallest integral value not less than input value
math.cexp~	exponent of a complex signals
cexp~	exponent of a complex signals
math.cmul~	multiplication of complex signals
cmul~	multiplication of complex signals
math.cos	cosine function
math.cosh	hyperbolic cosine function
math.cosh~	hyperbolic cosine for signals
math.cos~	cosine function
math.div	division (on lists too)
math./	division (on lists too)
math.e	mathematical constant, base of the natural logarithm
math.erf	error function
math.erf~	error function for signals
math.exp	exponential functions
math.exp2	exponential functions
math.exp2~	base-2 exponential for signal
math.expr	dynamic [expr]
math.exp~	base-e exponential for signal
math.floor	round to largest integral value not greater than x
math.floor~	round to largest integral value not greater than x
math.gamma	gamma function
math.gamma~	gamma function for floating point signals
math.gcd	calculate greatest common divisor
math.inf	infinity value that cannot be represented accurately
math.lcm	calculate least common multiple
math.lgamma	natural logarithm of the absolute value of the gamma function
math.lgamma~	natural logarithm of the absolute value of the gamma function for signals
math.log	natural logarithm
math.log10	logarithm functions
math.log10~	natural logarithm
math.log2	logarithm functions
math.log2~	base-2 logarithm
math.log~	natural logarithm
math.mul	multiplication (on lists too)
math.*	multiplication (on lists too)
math.nan	Not a Number, unrepresentable value
math.neg	negate function
-x	negate function
math.or	operation OR for multiple arguments
or	operation OR for multiple arguments
math.pi	mathematical constant
pi	mathematical constant
math.pi~	mathematical constant
pi~	mathematical constant
math.polyeval	evaluates the polynomial described by the coefficients list
math.reciprocal	calculate reciprocal number
1/x	calculate reciprocal number
math.reciprocal~	calculate reciprocal number for signals
1/x~	calculate reciprocal number for signals
math.round	round to integral value, regardless of rounding direction
math.round~	signal round
round~	signal round
math.sign	sign function
math.sin	sine function
math.sinh	hyperbolic sine function
math.sinh~	hyperbolic sine for signals
math.sin~	sine function
math.sqrt	square root function
math.sqrt~	square root for signal
math.squared	value square
^2	value square
math.^2	value square
math.squared~	signal value square
^2~	signal value square
math.^2~	signal value square
math.sync_add	sync addition
math.+'	sync addition
+'	sync addition
math.sync_and	sync logical AND operation
math.&&'	sync logical AND operation
&&'	sync logical AND operation
math.sync_div	sync division
math./'	sync division
/'	sync division
math.sync_eq	sync equal numbers check
math.=='	sync equal numbers check
=='	sync equal numbers check
math.sync_ge	sync greater equal numbers compare
math.>='	sync greater equal numbers compare
>='	sync greater equal numbers compare
math.sync_gt	sync greater then numbers compare
math.>'	sync greater then numbers compare
>'	sync greater then numbers compare
math.sync_le	sync less equal numbers compare
math.<='	sync less equal numbers compare
<='	sync less equal numbers compare
math.sync_lt	sync less then numbers compare
math.<'	sync less then numbers compare
<'	sync less then numbers compare
math.sync_mod	sync remainder of modulo division (float or integer)
math.%'	sync remainder of modulo division (float or integer)
%'	sync remainder of modulo division (float or integer)
math.sync_mul	sync multiplication
math.*'	sync multiplication
*'	sync multiplication
math.sync_ne	sync numbers for not equality
math.!='	sync numbers for not equality
!='	sync numbers for not equality
math.sync_or	sync logical OR operation
math.||'	sync logical OR operation
||'	sync logical OR operation
math.sync_sub	sync subtraction
math.-'	sync subtraction
-'	sync subtraction
math.sync_xor	sync logical XOR operation
math.^'	sync logical XOR operation
^'	sync logical XOR operation
math.tan	tangent function
math.tanh	hyperbolic tangent function
math.tanh~	hyperbolic tangent for signals
math.tan~	tangent function
math.trunc	truncate to integer value
math.trunc~	truncate to integer value
midi.ctl2str	convert Standard MIDI Controllers number to name
midi.ctl->str	convert Standard MIDI Controllers number to name
midi.event2ctl	convert MidiEvent message to controller channel/value pair
midi.ev->ctl	convert MidiEvent message to controller channel/value pair
midi.event2note	convert MidiEvent message to midi note/velocity pair
midi.ev->note	convert MidiEvent message to midi note/velocity pair
midi.event2prg	convert MidiEvent message to midi program change value
midi.ev->prg	convert MidiEvent message to midi program change value
midi.file	standard midi file SMF reader and writer
midi.key2str	convert key number to SPN name according to tonality
midi.key->str	convert key number to SPN name according to tonality
midi.prg2str	convert GM Instrument number to name (string or symbol)
midi.prg->str	convert GM Instrument number to name (string or symbol)
midi.track	extract track from MidiFile
click~	Output single impulse on bang
fluid~	FluidSynth SoundFont 2 player
modplug~	MOD file player (using libmodplug)
speech.flite	render speech to array
msg	message constructor
m	message constructor
msg.after	send specified message after incoming message
msg.onload	send message when patch loads
loadmsg	send message when patch loads
net.host2ip	returns IP address by DNS name
net.host->ip	returns IP address by DNS name
noise.crackle~	sparse noise generator
noise.lfreq0~	sampled/held noise (piecewise constant)
noise.lfreq~	noise.lfreq0~ smoothed with no overshoot
noise.pink~	Pink noise generator
noise.white~	White noise generator
osc.blit~	Bandlimited impulse train oscillator
osc.impulse~	Bandlimited impulse train generator
osc.pulse~	Bandlimited pulse train oscillator
osc.saw4~	Bandlimited sawtooth wave
osc.saw~	Alias-free sawtooth wave
osc.sinfb~	Sine oscilator with feedback
osc.sin~	Sine wave oscillator
osc.square~	Bandlimited square wave oscillator
osc.tri~	Bandlimited triangle wave oscillator
canvas.current	verbose information about current canvas
canvas.dir	current canvas directory
canvas.name	current canvas name
canvas.path	current canvas fullpath
canvas.top	verbose information about top-level canvas
patch.args	Get patch or subpatch arguments
path.basename	outputs filename portion of pathname
path.dirname	outputs directory portion of pathname
path.exists	checks if given path exists
path.is_dir	check if path is directory
path.lsdir	list directory contents
path.ls	list directory contents
is_any	checks if input data has *any* type
is_bang	checks if input data has *bang* type
is_data	checks if input data has *data* type
is_dict	checks if input data has *dict* type
is_even	checks if input number is even
is_file	checks if file exists and accessible
is_float	checks if input data has *float* type
is_list	checks if input data has *list* type
is_odd	checks if input number is odd
is_pointer	checks if input data has *pointer* type
is_symbol	checks if input data has *symbol* type
preset.float	load/store float preset
preset.f	load/store float preset
preset.list	load/store symbol preset
preset.l	load/store symbol preset
preset.storage	preset storage control
preset.symbol	load/store symbol preset
preset.s	load/store symbol preset
patch.props	patch properties manager
prop	get/set named property value for subpatch or abstraction
prop.declare	declare named property for subpatch or abstraction
prop.get	Property extractor
prop->	Property extractor
@->	Property extractor
prop.get~	Property extractor from sound stream
prop~>	Property extractor from sound stream
@~>	Property extractor from sound stream
prop.set	Property injector
prop<-	Property injector
proto.firmata	Firmata Arduino protocol support
proto.sp.alpaca	protocol parser for Arduino-based CEAMMC footswitch
random.discrete	random weighted integers on interval [0, n)
random.float	random float generator in specified range
random.f	random float generator in specified range
random.gauss	gaussian random distribution
random.int	Random integer generator in specified range
random.i	Random integer generator in specified range
random.linear	random linear distribution
random.pw_const	piecewise constant random distribution
random.pw_lin	piecewise linear random distribution
snd.file	Sound file loader on steroids
hoa.2d.decoder~	hoa 2d decoder
hoa.decoder~	hoa 2d decoder
hoa.2d.encoder~	hoa 2d encoder
hoa.encoder~	hoa 2d encoder
hoa.2d.map~	a 2d ambisonic multisource spatializer
hoa.map~	a 2d ambisonic multisource spatializer
hoa.2d.optim~	a 2D ambisonic optimization tool
hoa.optim~	a 2D ambisonic optimization tool
hoa.2d.projector~	a plane waves decomposer from circular harmonics domain
hoa.projector~	a plane waves decomposer from circular harmonics domain
hoa.2d.recomposer~	recomposes a 2d plane wave decomposition into circular harmonics
hoa.recomposer~	recomposes a 2d plane wave decomposition into circular harmonics
hoa.2d.rotate~	a 2D ambisonic sound field rotation
hoa.rotate~	a 2D ambisonic sound field rotation
hoa.2d.wider~	a 2d fractional ambisonic order simulator
hoa.wider~	a 2d fractional ambisonic order simulator
hoa.@process	process properties manager for hoa.process~
hoa.in	message inlet for a patcher loaded by hoa.process~
hoa.in~	signal inlet for a patcher loaded by hoa.process~
hoa.out	message outlet for a patcher loaded by hoa.process~
hoa.out~	signal inlet for a patcher loaded by hoa.process~
hoa.process~	patcher loader for multichannel processing
hoa.scope~	a 2d ambisonic harmonic scope
pan.cos~	two channel equal power sine/cosine panner
pan~	two channel equal power sine/cosine panner
pan.linsig~	two channel linear panner with signal control
pan.lin~	two channel linear panner
pan.spread~	spreads input channels across the stereo field
pan.sqrt~	two channel equal power square root panner
spat.pan4~	GMEM SPAT: 4-outputs spatializer
pan4~	GMEM SPAT: 4-outputs spatializer
spat.pan8~	GMEM SPAT: 8-outputs spatializer
pan8~	GMEM SPAT: 8-outputs spatializer
string	string constructor
str	string constructor
string.contains	checks if given string contains specified substring
str.contains	checks if given string contains specified substring
string.ends_with	checks if given string ends with specified suffix
str.ends_with	checks if given string ends with specified suffix
string.equal	check strings for equality
str.equal	check strings for equality
string.format	formats string like printf.
str.format	formats string like printf.
string.join	joins (concatenates) strings with separator
str.join	joins (concatenates) strings with separator
string.length	number of characters in string (unicode supported)
str.length	number of characters in string (unicode supported)
string.match	check if string match regular expression
str.match	check if string match regular expression
string.remove	remove substring from input string
str.remove	remove substring from input string
string.replace	replace from one substring to another in input string
str.replace	replace from one substring to another in input string
string.split	split string by separator
str.split	split string by separator
string.starts_with	checks if given string starts with specified prefix
str.starts_with	checks if given string starts with specified prefix
string.substr	extract substring from input string
str.substr	extract substring from input string
string2symbol	converts string to symbol
str->sym	converts string to symbol
symbol.equal	check symbols for equality
symbol.length	number of characters in symbol (unicode supported)
symbol.num_compare	numeric symbol compare
synth.bee3~	Hammond-oid organ FM synthesis instrument
synth.birds~	bird singing generator
synth.church_bell~	generic church bell modal model
synth.dubdub~	simple synth based on a sawtooth wave filtered by a resonant lowpass
synth.eguitar~	simple electric guitar model with steel strings
synth.fgrain~	file granulator from STK
synth.ks~	Karplus-Strong string
synth.marimba~	simple marimba physical model implementing a single tone bar connected to tube
synth.rhodey~	STK Fender Rhodes electric piano FM synthesis instrument
synth.risset_arp~	Jean Claude Risset's harmonic arpeggio effect
synth.risset_tone~	Jean Claude Risset's endless glissando
synth.shakers~	various percussion sounds from STK library
synth.wurley~	Wurlitzer electric piano FM synthesis instrument
system.colorpanel	System color panel dialog popup
system.cursor	Output cursor motion, mousewheel and buttonclicks
system.exec	run external command in separate process
system.getenv	Get system environment variables
system.hostname	outputs system hostname
system.memsize	returns the size of physical memory (RAM) in bytes round to float data type.
system.memused	returns the process physical memory use - current and peak
system.screen_size	returns current screen size in pixels
tl.bang	Timeline bang (with possible delay)
tl.b	Timeline bang (with possible delay)
tl.cue	Timeline section
tl.timeline	Timeline - event scheduler
timeline	Timeline - event scheduler
tl.toggle	Timeline bang
tl.t	Timeline bang
tl.transport	Timeline transport control
ui.aview	array view with cursor and selection
ui.bang	A bang... that's all
ui.b	A bang... that's all
ui.colorpanel	colorchooser widget
ui.display	Display GUI object
ui.d	Display GUI object
ui.dsp~	GUI for turning DSP on/off
ui.env	envelope editor widget
ui.gain2~	UI stereo gain control
ui.hgain2~	UI stereo gain control
ui.vgain2~	UI stereo gain control
ui.gain~	UI gain control
ui.hgain~	UI gain control
ui.vgain~	UI gain control
ui.icon	simple icon with button capabilities
ui.incdec	value increment/decrement
ui.keyboard	keyboard widget
ui.knob	knob widget
ui.label	simple label widget
ui.link	Hyperlink widget
ui.matrix	The matrix of toggles has you.
ui.menu	Dropdown menu
ui.meter~	Shows peak and rms signal level
ui.m~	Shows peak and rms signal level
ui.mouse_filter	filter mouse events from ui objects
ui.mf	filter mouse events from ui objects
ui.mouse_route	routes mouse events from ui objects
ui.mr	routes mouse events from ui objects
ui.number	counterpart of the vanilla [nbx]
ui.n	counterpart of the vanilla [nbx]
ui.number~	counterpart of the vanilla [nbx] for signal
ui.n~	counterpart of the vanilla [nbx] for signal
ui.plot~	signal plotter
ui.polar	2D slider in polar coordinates
ui.preset	Preset manager
ui.radio	counterpart of the vanilla radio toggle
ui.radio*	counterpart of the vanilla radio toggle
ui.hrd	counterpart of the vanilla radio toggle
ui.hrd*	counterpart of the vanilla radio toggle
ui.vrd	counterpart of the vanilla radio toggle
ui.vrd*	counterpart of the vanilla radio toggle
ui.rslider	range slider
ui.rsl	range slider
ui.scope~	Scope GUI object
ui.slider	counterpart of the vanilla slider
ui.hsl	counterpart of the vanilla slider
ui.vsl	counterpart of the vanilla slider
ui.slider2d	2D slider widget
ui.sliders	Multiple slider widget
ui.spectroscope~	Spectroscope GUI object
ui.ssc~	Spectroscope GUI object
ui.tab	displays a list of text buttons or text toggles
ui.toggle	modern toggle widget
ui.t	modern toggle widget
